...1,id,display_name,publication_year,type,journal,journal_id,doi,citations,first_author,n,group,X.1,X
9860,https://openalex.org/W3123659891,The Fluidity of Neutrality,2004,journal-article,The Review of Politics,https://openalex.org/V123309644,https://doi.org/10.1017/s0034670500039917,13,Andrew Koppelman,12,extend2,NA,NA
9861,https://openalex.org/W3123412826,Casaubon's ghosts: the haunting of legal scholarship,2001,journal-article,Legal Studies,https://openalex.org/V85654233,https://doi.org/10.1111/j.1748-121x.2001.tb00167.x,2,Allan C. Hutchinson,12,extend2,NA,NA
9862,https://openalex.org/W3123035005,The struggle for law: some dilemmas of cultural legality,2008,journal-article,International Journal of Law in Context,https://openalex.org/V53946526,https://doi.org/10.1017/s1744552309004042,9,Roger Cotterrell,12,extend2,NA,NA
9863,https://openalex.org/W3038899278,Do We Have Normative Powers,2020,journal-article,Aristotelian Society Supplementary Volume,https://openalex.org/V194395252,https://doi.org/10.1093/arisup/akaa012,4,Ruth Chang,12,extend2,NA,NA
9864,https://openalex.org/W3005047431,The Teleological Account of Proportional Surveillance,2020,journal-article,Res Publica,https://openalex.org/V163937955,https://doi.org/10.1007/s11158-020-09451-7,2,Frej Klem Thomsen,12,extend2,NA,NA
9865,https://openalex.org/W2979808886,Respect for persons and the moral force of socially constructed norms,2021,journal-article,Noûs,https://openalex.org/V170801797,https://doi.org/10.1111/nous.12319,3,Laura Valentini,12,extend2,NA,NA
9867,https://openalex.org/W2903951569,"Punishment, Jesters and Judges: a Response to Nathan Hanna",2019,journal-article,Ethical Theory and Moral Practice,https://openalex.org/V103146128,https://doi.org/10.1007/s10677-018-9966-7,2,Bill Wringe,12,extend2,NA,NA
9868,https://openalex.org/W2900685082,Law as Fact and Norm. Georg Jellinek and the Dual Nature of Law,2019,book-chapter,Social Science Research Network,https://openalex.org/V2751751161,https://doi.org/10.1007/978-3-030-18929-7_4,4,Matthias Klatt,12,extend2,NA,NA
9870,https://openalex.org/W2795628753,Ruling before the Law: The Politics of Legal Regimes in China and Indonesia,2018,book,NA,NA,NA,9,William Hurst,12,extend2,NA,NA
9871,https://openalex.org/W2782941239,Moral Responsibility as Guiltworthiness,2018,journal-article,Ethical Theory and Moral Practice,https://openalex.org/V103146128,https://doi.org/10.1007/s10677-018-9863-0,2,A. P. Duggan,12,extend2,NA,NA
9872,https://openalex.org/W2750686197,Transitional Justice and the Quest for Democracy: Towards a Political Theory of Democratic Transformations,2010,dissertation,NA,NA,NA,5,Mihaela Mihai,12,extend2,NA,NA
9873,https://openalex.org/W2623567514,Legitimate Authority and the Ethics of War: A Map of the Terrain,2017,journal-article,Ethics & International Affairs,https://openalex.org/V60902712,https://doi.org/10.1017/s0892679417000065,9,Jonathan Parry,12,extend2,NA,NA
9874,https://openalex.org/W2617327350,Reconciling legal positivism and human rights: Hans Kelsen's argument from relativism,2018,journal-article,Journal of Human Rights,https://openalex.org/V65076878,https://doi.org/10.1080/14754835.2017.1332519,2,Carlo Invernizzi-Accetti,12,extend2,NA,NA
9875,https://openalex.org/W2606159061,The Choice Theory of Contracts,2017,book,NA,NA,NA,8,Hanoch Dagan,12,extend2,NA,NA
9877,https://openalex.org/W2573650477,Statement types in legal argument.,2016,proceedings-article,international conference on legal knowledge and information systems,NA,NA,12,Latifa Al-Abdulkarim,12,extend2,NA,NA
9878,https://openalex.org/W2552576737,"Goals, values, and reasoning",2017,journal-article,Expert Systems With Applications,https://openalex.org/V13144211,https://doi.org/10.1016/j.eswa.2016.11.008,4,Tomasz Zurek,12,extend2,NA,NA
9879,https://openalex.org/W2551992346,"Juridische Kennissystemen, Rekentuig of Rekenmeester?",1997,NA,NA,NA,NA,2,de Cornelis Vey Mestdagh,12,extend2,NA,NA
9880,https://openalex.org/W2499362730,"Hegel, G. W. F.",2014,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139026741.091,10,Sibyl A. Schwarzenbach,12,extend2,NA,NA
9881,https://openalex.org/W2489435845,"Okin, Susan Moller",2014,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139026741.150,21,Michael Blake,12,extend2,NA,NA
9882,https://openalex.org/W2486717969,Well-ordered society,2014,book-chapter,The Rawls Lexicon,NA,https://doi.org/10.1017/cbo9781139026741.225,3,J. Donald Moon,12,extend2,NA,NA
9883,https://openalex.org/W2483158486,Health and health care,2014,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139026741.089,32,Norman Daniels,12,extend2,NA,NA
9885,https://openalex.org/W2480568939,"A Theory of Mediators' Ethics: Foundations, Rationale, and Application",2016,book,NA,NA,NA,4,Omer Shapira,12,extend2,NA,NA
9886,https://openalex.org/W2478562374,"Harsanyi, John C.",2014,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139026741.088,26,Iwao Hirose,12,extend2,NA,NA
9887,https://openalex.org/W2425501205,"New Directions in Legal Scholarship: Implications for Business Ethics Research, Theory, and Practice",2010,journal-article,Business Ethics Quarterly,https://openalex.org/V9702615,https://doi.org/10.5840/beq201020332,13,John Hasnas,12,extend2,NA,NA
9888,https://openalex.org/W2312450878,Moral Responsibility and “Moral Luck”,1995,journal-article,The Philosophical Review,https://openalex.org/V35579339,https://doi.org/10.2307/2185815,56,Brian Rosebury,12,extend2,NA,NA
9890,https://openalex.org/W2286052788,"International Judicial Human Rights Review: Effective, Legitime or Both?",2008,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,2,Andreas Follesdal,12,extend2,NA,NA
9891,https://openalex.org/W2236447792,"Norms, normative propositions, and legal statements",1982,book-chapter,NA,NA,https://doi.org/10.1007/978-94-015-3948-7_6,14,Eugenio Bulygin,12,extend2,NA,NA
9892,https://openalex.org/W2233914036,Native Title Corporations: A Legal and Anthropological Analysis,2000,book,NA,NA,NA,57,Christos Mantziaris,12,extend2,NA,NA
9893,https://openalex.org/W222095167,Public Humiliation as a Mitigator in Criminal Sentencing,2006,NA,NA,NA,NA,2,Barbara Benoliel,12,extend2,NA,NA
9895,https://openalex.org/W2163183278,Human Rights as Rights,2011,book-chapter,NA,NA,NA,3,Rowan Cruft,12,extend2,NA,NA
9896,https://openalex.org/W215972870,Argument Structures in Legal Interpretation: Balancing and Thresholds,2015,book-chapter,Law and philosophy library,https://openalex.org/V4210184901,https://doi.org/10.1007/978-3-319-16148-8_9,2,Michał Araszkiewicz,12,extend2,NA,NA
9897,https://openalex.org/W2149012851,A neo-Aristotelian notion of reciprocity: about civic friendship and (the troublesome character of) right judicial decisions,2013,book-chapter,Ius Gentium,NA,https://doi.org/10.1007/978-94-007-6031-8_13,17,Iris van Domselaar,12,extend2,NA,NA
9898,https://openalex.org/W2145670292,The Moral Foundations of Criminal Liability,2014,journal-article,Intellectual property rights,https://openalex.org/V4210171036,https://doi.org/10.4172/2375-4516.1000116,2,Mouaid Al Qudah,12,extend2,NA,NA
9899,https://openalex.org/W2144759050,A Sporting Dilemma and Its Jurisprudence,2006,journal-article,Journal of The Philosophy of Sport,https://openalex.org/V77033920,https://doi.org/10.1080/00948705.2006.9714697,3,Patrick Lenta,12,extend2,NA,NA
9901,https://openalex.org/W2138244811,Balancing competences: How institutional cosmopolitanism can manage jurisdictional conflicts,2015,journal-article,Global constitutionalism,https://openalex.org/V4210180558,https://doi.org/10.1017/s2045381715000039,4,Matthias Klatt,12,extend2,NA,NA
9902,https://openalex.org/W2134975282,Recent Work on the Ethics of Self‐Defense,2011,journal-article,Philosophy Compass,https://openalex.org/V34011028,https://doi.org/10.1111/j.1747-9991.2010.00382.x,31,Tyler Doggett,12,extend2,NA,NA
9903,https://openalex.org/W2132223438,Sobre el ejercicio democrático del control judicial de las leyes,2008,NA,Isonomía - Revista de teoría y filosofía del derecho,NA,NA,4,Sebastián Linares,12,extend2,NA,NA
9904,https://openalex.org/W2126872552,Legal Realism for Economists,2009,journal-article,Journal of Economic Perspectives,https://openalex.org/V72880728,https://doi.org/10.1257/jep.23.2.191,43,Matthew C. Stephenson,12,extend2,NA,NA
9905,https://openalex.org/W2124710950,En búsqueda de la estructura ontológica del derecho,2013,NA,Revista de derecho del estado,NA,NA,2,Carlos Bernal,12,extend2,NA,NA
9907,https://openalex.org/W2122361107,Coercion and (global) justice,2011,journal-article,American Political Science Review,https://openalex.org/V176007004,https://doi.org/10.1017/s0003055410000559,27,Laura Valentini,12,extend2,NA,NA
9910,https://openalex.org/W2109132676,An Integrated View on Rules and Principles,1998,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1023/a:1008247812801,51,Bart Verheij,12,extend2,NA,NA
9912,https://openalex.org/W2085985085,"Deductive, inductive and analogical reasoning in legal decision support systems",1995,journal-article,Information & Communications Technology Law,https://openalex.org/V144709864,https://doi.org/10.1080/13600834.1995.9965715,6,John Zeleznikow,12,extend2,NA,NA
9913,https://openalex.org/W207994131,Is Post-Positivism Possible?,2011,journal-article,German Law Journal,https://openalex.org/V117224066,https://doi.org/10.1017/s2071832200017053,4,Karen Petroski,12,extend2,NA,NA
9914,https://openalex.org/W2079037576,Defeasible Reasoning and Informal Fallacies,2011,journal-article,Social Science Research Network,https://openalex.org/V2751751161,https://doi.org/10.2139/ssrn.1775825,2,Douglas Walton,12,extend2,NA,NA
9918,https://openalex.org/W2059004917,Liberalism and capabilities: Theories of justice and the neutral state,1990,journal-article,Social Justice Research,https://openalex.org/V83616544,https://doi.org/10.1007/bf01048397,4,Percy B. Lehning,12,extend2,NA,NA
9919,https://openalex.org/W2056401618,The fortuitous gap in law and morality,1987,journal-article,Criminal Justice Ethics,https://openalex.org/V78048965,https://doi.org/10.1080/0731129x.1987.9991815,11,Yoram Shachar,12,extend2,NA,NA
9920,https://openalex.org/W2053621705,Are Human Rights Liberal,2009,journal-article,Journal of Human Rights,https://openalex.org/V65076878,https://doi.org/10.1080/14754830903324720,11,Alex Gourevitch,12,extend2,NA,NA
9922,https://openalex.org/W2044967491,Hate and Punishment,2015,journal-article,Journal of Interpersonal Violence,https://openalex.org/V45333638,https://doi.org/10.1177/0886260514548583,9,Antti Kauppinen,12,extend2,NA,NA
9925,https://openalex.org/W2026095380,Modeling teleological interpretation,2013,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/2514601.2514619,21,Tomasz Zurek,12,extend2,NA,NA
9930,https://openalex.org/W2006255819,The peripheral core of law and criminology: On postmodern social theory and conceptual integration,1995,journal-article,Justice Quarterly,https://openalex.org/V149422333,https://doi.org/10.1080/07418829500096091,37,Bruce A. Arrigo,12,extend2,NA,NA
9933,https://openalex.org/W1990455917,Constitutional Politics and Constitutional Theory: A Misunderstood and Neglected Relationship,2002,journal-article,Law and Social Inquiry-journal of The American Bar Foundation,https://openalex.org/V129275725,https://doi.org/10.1111/j.1747-4469.2002.tb00806.x,13,Mark A. Graber,12,extend2,NA,NA
9935,https://openalex.org/W1986461651,The Ambiguities of Rawls's Influence,2006,journal-article,Perspectives on Politics,https://openalex.org/V173657377,https://doi.org/10.1017/s1537592706060129,6,Peter Berkowitz,12,extend2,NA,NA
9936,https://openalex.org/W1985419471,Why the Basic Structure,2012,journal-article,Canadian Journal of Philosophy,https://openalex.org/V41191225,https://doi.org/10.1353/cjp.2012.0014,13,Louis-Philippe Hodgson,12,extend2,NA,NA
9937,https://openalex.org/W1984111632,"Habermas, modernity and law",1994,journal-article,Philosophy & Social Criticism,https://openalex.org/V57090429,https://doi.org/10.1177/019145379402000407,22,Mathieu Deflem,12,extend2,NA,NA
9938,https://openalex.org/W198068258,"The Ethos of Europe: Values, Law and Justice in the EU",2010,book,NA,NA,NA,31,Andrew Williams,12,extend2,NA,NA
9940,https://openalex.org/W1973698521,Individual rights vs. social utility: The search for the golden zigzag between conflicting fundamental values,1987,journal-article,Journal of Criminal Justice,https://openalex.org/V140176541,https://doi.org/10.1016/0047-2352(87)90029-8,3,Dean J. Spader,12,extend2,NA,NA
9942,https://openalex.org/W1920913053,Legal argumentation theory: Cross-disciplinary perspectives,2013,book,Law and philosophy library,https://openalex.org/V4210184901,https://doi.org/10.1007/978-94-007-4670-1,6,Christian Dahlman,12,extend2,NA,NA
9944,https://openalex.org/W1868750773,Legal constructions of crime,2007,book-chapter,NA,NA,NA,28,Nicola Lacey,12,extend2,NA,NA
9946,https://openalex.org/W18368705,Punishment and ethics : new perspectives,2010,book,NA,NA,NA,3,Jesper Ryberg,12,extend2,NA,NA
9947,https://openalex.org/W1827110031,Use and reuse of legal ontologies in knowledge engineering and information management,2005,book-chapter,Lecture Notes in Computer Science,https://openalex.org/V106296714,https://doi.org/10.1007/978-3-540-32253-5_4,65,Joost Breuker,12,extend2,NA,NA
9948,https://openalex.org/W182448732,Hybrid Reasoning with Argumentation Schemes,2008,proceedings-article,joint conference on knowledge-based software engineering,NA,NA,8,Thomas F. Gordon,12,extend2,NA,NA
9949,https://openalex.org/W1770362627,"Emotions and Culpability: How the Law is at Odds With Psychology, Jurors, and Itself",2006,book,NA,NA,NA,11,Norman J. Finkel,12,extend2,NA,NA
9950,https://openalex.org/W1756909922,Is Law a Fiction,2015,book-chapter,Law and philosophy library,https://openalex.org/V4210184901,https://doi.org/10.1007/978-3-319-09232-4_3,2,Geoffrey Samuel,12,extend2,NA,NA
9951,https://openalex.org/W1659288254,What Is Law,2017,journal-article,Social Science Research Network,https://openalex.org/V2751751161,https://doi.org/10.1017/9781316979778.003,3,Brian Z. Tamanaha,12,extend2,NA,NA
9952,https://openalex.org/W1636613648,Proof Burdens and Standards,2009,book-chapter,Argumentation in Artificial Intelligence,NA,https://doi.org/10.1007/978-0-387-98197-0_12,111,Thomas F. Gordon,12,extend2,NA,NA
9953,https://openalex.org/W1575371862,Los conceptos esencialmente controvertidos en la interpretación constitucional,2000,journal-article,Doxa,https://openalex.org/V4210168614,https://doi.org/10.14198/doxa2000.23.03,14,Marisa Iglesias Vila,12,extend2,NA,NA
9954,https://openalex.org/W1567408908,Choosing a Legal Theory on Cultural Grounds: An African Case for Legal Positivism,2001,journal-article,West Africa Review,https://openalex.org/V2765025763,NA,6,Jare Oladosu,12,extend2,NA,NA
9955,https://openalex.org/W1565581672,A Moral Theory of Political Reconciliation,2010,book,NA,NA,NA,52,Colleen Murphy,12,extend2,NA,NA
9956,https://openalex.org/W1554001127,War : essays in political philosophy,2008,book,NA,NA,https://doi.org/10.1017/cbo9780511840982,24,Larry May,12,extend2,NA,NA
9957,https://openalex.org/W1528681109,"‘Smoke gets in your eyes …’: the criminalisation of smoking in enclosed public places, the harm principle and the limits of the criminal sanction",2011,journal-article,Legal Studies,https://openalex.org/V85654233,https://doi.org/10.1111/j.1748-121x.2010.00181.x,4,Pamela R. Ferguson,12,extend2,NA,NA
9958,https://openalex.org/W1523510547,Weighing and Balancing in the Justification of Judicial Decisions,2008,journal-article,Informal Logic,https://openalex.org/V105958181,https://doi.org/10.22329/il.v28i1.511,7,Eveline T. Feteris,12,extend2,NA,NA
9959,https://openalex.org/W1523259597,"Aquinas, Aristotle, and the Promise of the Common Good",2006,book,NA,NA,NA,62,Mary M. Keys,12,extend2,NA,NA
9960,https://openalex.org/W1519779401,"The European Convention on Human Rights: Achievements, Problems and Prospects",2006,book,NA,NA,NA,91,Steven C Greer,12,extend2,NA,NA
9963,https://openalex.org/W1493648651,The Rule of State Law Versus the Rule-of-Law State: Economic Analysis of the Legal Foundations of Development,1997,NA,Annual World Bank Conference on Development Economics,NA,NA,39,Robert D. Cooter,12,extend2,NA,NA
9964,https://openalex.org/W1487323630,"Justice, Gender, and the Politics of Multiculturalism",2007,book,NA,NA,NA,94,Sarah Song,12,extend2,NA,NA
9965,https://openalex.org/W643956759,"Globalization and Sovereignty: Rethinking Legality, Legitimacy, and Constitutionalism",2012,book,NA,NA,NA,92,Jean L. Cohen,13,extend2,NA,NA
9966,https://openalex.org/W599581792,Liberalism and nationalism,2015,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139942478.018,3,Paul Kelly,13,extend2,NA,NA
9967,https://openalex.org/W577298673,"Torture, Power, and Law",2014,book,NA,NA,NA,12,David Luban,13,extend2,NA,NA
9968,https://openalex.org/W39336075,Open texture and argumentation: what makes an argument persuasive?,2012,book-chapter,Lecture Notes in Computer Science,https://openalex.org/V106296714,https://doi.org/10.1007/978-3-642-29414-3_12,2,Trevor J. M. Bench-Capon,13,extend2,NA,NA
9970,https://openalex.org/W3130718662,The Law Multiple: Judgment and Knowledge in Practice,2021,monograph,NA,NA,https://doi.org/10.1017/9781108859981,4,Irene van Oorschot,13,extend2,NA,NA
9975,https://openalex.org/W3123270231,The Rule of Law or the Rule of Politics? Harmonizing the Internal and External Views of Supreme Court Decision Making,2005,journal-article,Law and Social Inquiry-journal of The American Bar Foundation,https://openalex.org/V129275725,https://doi.org/10.1111/j.1747-4469.2005.tb00347.x,23,Stephen M. Feldman,13,extend2,NA,NA
9976,https://openalex.org/W3122376708,Having One’s Cake and Eating it: The Paradox of Contextualisation in Socio-Legal Research,2011,journal-article,International Journal of Law in Context,https://openalex.org/V53946526,https://doi.org/10.1017/s1744552311000267,5,Reza Banakar,13,extend2,NA,NA
9978,https://openalex.org/W3121238880,What is Legal Doctrine? On the Aims and Methods of Legal-Dogmatic Research,2017,book-chapter,Rethinking Legal Scholarship,NA,https://doi.org/10.1017/9781316442906.006,3,Jan M. Smits,13,extend2,NA,NA
9980,https://openalex.org/W3044657763,The Grounds of Political Legitimacy,2020,journal-article,Journal of the American Philosophical Association,https://openalex.org/V4210234344,https://doi.org/10.1017/apa.2020.6,2,Fabienne Peter,13,extend2,NA,NA
9981,https://openalex.org/W2992614947,Capital Punishment and the Owl of Minerva,2019,book-chapter,NA,NA,https://doi.org/10.1007/978-3-030-22811-8_11,2,Vincent Chiao,13,extend2,NA,NA
9982,https://openalex.org/W2973203501,Free Will Skepticism in Law and Society: An Overview,2019,book-chapter,NA,NA,https://doi.org/10.1017/9781108655583.001,3,Gregg D. Caruso,13,extend2,NA,NA
9983,https://openalex.org/W2892868888,Relational Egalitarianism: Living as Equals,2018,book,NA,NA,NA,16,Kasper Lippert-Rasmussen,13,extend2,NA,NA
9985,https://openalex.org/W2783663761,Hobbes and the Two Faces of Ethics,2018,book,NA,NA,NA,5,Arash Abizadeh,13,extend2,NA,NA
9986,https://openalex.org/W2779693884,Reasoning with dimensions and magnitudes,2017,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/3086512.3086523,4,John F. Horty,13,extend2,NA,NA
9989,https://openalex.org/W2767748633,"Response-Dependent Responsibility; or, A Funny Thing Happened on the Way to Blame",2017,journal-article,The Philosophical Review,https://openalex.org/V35579339,https://doi.org/10.1215/00318108-4173422,25,David Shoemaker,13,extend2,NA,NA
9990,https://openalex.org/W2620608236,REASON AND AUTHORITY IN ADMINISTRATIVE LAW,2017,journal-article,Cambridge Law Journal,https://openalex.org/V206866588,https://doi.org/10.1017/s0008197317000599,2,James Angus Grant,13,extend2,NA,NA
9993,https://openalex.org/W2567484863,Public reason liberalism,2015,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139942478.008,10,Gerald F. Gaus,13,extend2,NA,NA
9994,https://openalex.org/W2514086273,Zentrale Begriffe und Konzepte der Bioethik,2015,book-chapter,NA,NA,https://doi.org/10.1007/978-3-476-05323-7_2,2,Dominik Düber,13,extend2,NA,NA
9995,https://openalex.org/W2503349217,The republican critique of liberalism,2015,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139942478.021,2,Frank Lovett,13,extend2,NA,NA
9996,https://openalex.org/W2496394572,Disagreement and the justification of democracy,2015,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139942478.014,2,Thomas Christiano,13,extend2,NA,NA
9997,https://openalex.org/W2494609631,International Legal Positivism in a Post-Modern World: Beyond Kelsen and Hart,2014,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139094245.008,9,Alexander Somek,13,extend2,NA,NA
9998,https://openalex.org/W2492568823,The conservative critique of liberalism,2015,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139942478.022,6,John Skorupski,13,extend2,NA,NA
10000,https://openalex.org/W2481119931,Liberalism and equality,2015,book-chapter,NA,NA,https://doi.org/10.1017/cbo9781139942478.013,5,Richard J. Arneson,13,extend2,NA,NA
10001,https://openalex.org/W2404234204,"IMPACT OF PRISON REHABILITATION PROGRAMMES ON SELF SUSTAINABILITY OF EX-CONVICTS: A CASE OF THIKA SUB-COUNTY, KENYA",2013,dissertation,NA,NA,NA,2,Joseph Kala Muasya,13,extend2,NA,NA
10006,https://openalex.org/W2163022956,Is there a burden of questioning,2003,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1023/b:arti.0000013333.96215.a9,19,Douglas Walton,13,extend2,NA,NA
10007,https://openalex.org/W2155919539,Hart's critics on defeasible concepts and ascriptivism,1995,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/222092.222099,20,Ronald P. Loui,13,extend2,NA,NA
10008,https://openalex.org/W2154442951,Private Law Theory and Taxonomy: Reframing the Debate,2015,journal-article,Legal Studies,https://openalex.org/V85654233,https://doi.org/10.1111/lest.12075,2,Duncan Sheehan,13,extend2,NA,NA
10011,https://openalex.org/W2112816268,Rules and Norms: Requirements for Rule Interchange Languages in the Legal Domain,2009,book-chapter,Lecture Notes in Computer Science,https://openalex.org/V106296714,https://doi.org/10.1007/978-3-642-04985-9_26,84,Thomas F. Gordon,13,extend2,NA,NA
10012,https://openalex.org/W2110386669,"No Global Demos, No Global Democracy? A Systematization and Critique",2014,journal-article,Perspectives on Politics,https://openalex.org/V173657377,https://doi.org/10.1017/s1537592714002138,29,Laura Valentini,13,extend2,NA,NA
10014,https://openalex.org/W2094712212,Conceptual framework for document semantic modelling: an application to document and knowledge management in the legal domain,2003,journal-article,Data and Knowledge Engineering,https://openalex.org/V136993123,https://doi.org/10.1016/s0169-023x(03)00046-6,12,David Jouve,13,extend2,NA,NA
10015,https://openalex.org/W2080567736,Political philosophy in political science: sixty years on: Part II: current features of contemporary political philosophy,2011,journal-article,International Political Science Review,https://openalex.org/V9856456,https://doi.org/10.1177/0192512111402304,2,Jean Leca,13,extend2,NA,NA
10016,https://openalex.org/W2077913887,Solving a Murder Case by Asking Critical Questions : An Approach to Fact-Finding in Terms of Argumentation and Story Schemes,2012,journal-article,Argumentation,https://openalex.org/V12198553,https://doi.org/10.1007/s10503-011-9257-0,26,Floris Bex,13,extend2,NA,NA
10023,https://openalex.org/W2041565586,Ideology as Rationalization and as Self-Righteousness: Psychology and Law as Paths to Critical Business Ethics,2013,journal-article,Business Ethics Quarterly,https://openalex.org/V9702615,https://doi.org/10.5840/beq201323439,6,Wayne Eastman,13,extend2,NA,NA
10024,https://openalex.org/W2041469911,The Tyranny of the Enfranchised Majority? The Accountability of States to their Non-Citizen Population,2010,journal-article,Res Publica,https://openalex.org/V163937955,https://doi.org/10.1007/s11158-010-9133-z,15,Meghan Benton,13,extend2,NA,NA
10025,https://openalex.org/W2038855474,Towards formalising argumentation about legal cases,2011,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/2018358.2018359,24,Adam Wyner,13,extend2,NA,NA
10026,https://openalex.org/W2025099316,Situated legal systems and their operational semantics,2015,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1007/s10506-015-9164-z,7,Antônio Carlos da Rocha Costa,13,extend2,NA,NA
10027,https://openalex.org/W2023940941,A typology of moves involved in case comparison,2001,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/383535.383551,7,Bram Roth,13,extend2,NA,NA
10030,https://openalex.org/W2000994232,Democracy and the Right to Exclusion,2014,journal-article,Res Publica,https://openalex.org/V163937955,https://doi.org/10.1007/s11158-014-9253-y,5,Ludvig Beckman,13,extend2,NA,NA
10035,https://openalex.org/W1960885767,Moral Grammar and Intuitive Jurisprudence: A Formal Model of Unconscious Moral and Legal Knowledge,2008,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,16,John Mikhail,13,extend2,NA,NA
10036,https://openalex.org/W1893889085,‘What’s the Plan?’ On Interpretation and Meta-interpretation in Scott Shapiro’s Legality,2013,book-chapter,Social Science Research Network,https://openalex.org/V2751751161,https://doi.org/10.1007/978-94-007-4593-3_9,3,Giorgio Pino,13,extend2,NA,NA
10038,https://openalex.org/W1616374570,A Structured Taxonomy of Responsibility Concepts,2011,book-chapter,Social Science Research Network,https://openalex.org/V2751751161,https://doi.org/10.1007/978-94-007-1878-4_2,60,Nicole A. Vincent,13,extend2,NA,NA
10039,https://openalex.org/W1586698997,Why International Human Rights Judicial Review might be Democratically Legitimate,2012,posted-content,Social Science Research Network,https://openalex.org/V2751751161,NA,4,Andreas Follesdal,13,extend2,NA,NA
10040,https://openalex.org/W1578675976,Permutations of Judicial Power: The New Constitutionalism and the Expansion of Judicial Authority,2007,journal-article,Law and Social Inquiry-journal of The American Bar Foundation,https://openalex.org/V129275725,https://doi.org/10.1111/j.1747-4469.2007.00068.x,9,Shannon Roesler,13,extend2,NA,NA
10041,https://openalex.org/W1549448617,The semiotics of law in legal education,2011,book,NA,NA,https://doi.org/10.1007/978-94-007-1341-3,3,Jan M. Broekman,13,extend2,NA,NA
10042,https://openalex.org/W1538135547,Case-Based Argumentation in Agent Societies,2011,dissertation,Riunet,NA,https://doi.org/10.4995/thesis/10251/12497,2,Heras Barberá,13,extend2,NA,NA
10044,https://openalex.org/W1502374071,Is there a moral duty to die,2001,journal-article,Health Care Analysis,https://openalex.org/V179540746,https://doi.org/10.1023/a:1011355028021,4,J. Angelo Corlett,13,extend2,NA,NA
10045,https://openalex.org/W1271677168,The guardian of the constitution : Hans Kelsen and Carl Schmitt on the limits of constitutional law,2015,monograph,NA,NA,https://doi.org/10.1017/cbo9781316136256,39,Lars Vinx,13,extend2,NA,NA
10046,https://openalex.org/W644226352,End-of-life decisions in medical care : principles and policies for regulating the dying process,2012,book,NA,NA,NA,8,Stephen W. Smith,14,extend2,NA,NA
10047,https://openalex.org/W42461680,"Minorities within Minorities: Equality, Rights and Diversity",2009,book,NA,NA,NA,123,Avigail Eisenberg,14,extend2,NA,NA
10048,https://openalex.org/W37436018,"A Quarter of Century in Artificial Intelligence and Law: Projects, Personal Trajectories, a Subjective Perspective",2014,book-chapter,Lecture Notes in Computer Science,https://openalex.org/V106296714,https://doi.org/10.1007/978-3-642-45324-3_16,7,Ephraim Nissan,14,extend2,NA,NA
10049,https://openalex.org/W3125584552,Is Law Grounded in Joint Action,2014,journal-article,Rechtstheorie,https://openalex.org/V99587756,https://doi.org/10.3790/rth.45.3.289,4,Damiano Canale,14,extend2,NA,NA
10050,https://openalex.org/W3124936122,Defeasible reasoning and informal fallacies,2011,journal-article,Synthese,https://openalex.org/V255146,https://doi.org/10.1007/s11229-009-9657-y,16,Douglas Walton,14,extend2,NA,NA
10052,https://openalex.org/W3122520529,Democracy and judicial review: are they really incompatible?,2009,journal-article,Perspectives on Politics,https://openalex.org/V173657377,https://doi.org/10.1017/s1537592709991812,18,Annabelle Lever,14,extend2,NA,NA
10054,https://openalex.org/W3088166263,The Legitimacy of International Law,2016,book-chapter,NA,NA,https://doi.org/10.1017/9781316481653.006,2,David Lefkowitz,14,extend2,NA,NA
10055,https://openalex.org/W2910883856,Voicing the market: Extending the ambition of contract theory,2019,journal-article,University of Toronto Law Journal,https://openalex.org/V62734853,https://doi.org/10.3138/utlj.2018-0079,2,Roy Kreitner,14,extend2,NA,NA
10056,https://openalex.org/W2905823657,State and Religion in Israel: A Philosophical-Legal Inquiry,2019,book,NA,NA,NA,4,Gideon Sapir,14,extend2,NA,NA
10057,https://openalex.org/W2807142768,Rawls's Egalitarianism,2018,book,NA,NA,NA,2,Alexander Kaufman,14,extend2,NA,NA
